"id","symbol","exchange_code","dt","open","high","low","close","volume"
658,"FRT","10","2021-12-15 00:00:00",76.5,78.8,75.5,77.0,1146100
658,"FRT","10","2021-12-16 00:00:00",77.8,77.9,75.6,76.2,1083600
658,"FRT","10","2021-12-17 00:00:00",76.1,81.5,75.0,81.5,1638700
658,"FRT","10","2021-12-20 00:00:00",83.9,87.2,82.0,87.2,1032100
658,"FRT","10","2021-12-21 00:00:00",91.3,92.2,85.1,86.7,1554800
658,"FRT","10","2021-12-22 00:00:00",85.3,89.9,85.3,87.5,993500
658,"FRT","10","2021-12-23 00:00:00",87.3,89.9,86.3,88.0,1146600
658,"FRT","10","2021-12-24 00:00:00",88.0,94.1,87.3,94.1,1421400
658,"FRT","10","2021-12-27 00:00:00",97.9,100.6,95.4,98.0,1364500
658,"FRT","10","2021-12-28 00:00:00",99.0,101.0,96.1,101.0,705900
658,"FRT","10","2021-12-29 00:00:00",100.1,104.5,99.5,104.0,574100
658,"FRT","10","2021-12-30 00:00:00",104.5,107.5,103.0,104.5,972300
658,"FRT","10","2021-12-31 00:00:00",105.3,105.3,97.2,100.2,2483400
658,"FRT","10","2022-01-04 00:00:00",98.6,99.0,95.0,95.0,2197800
658,"FRT","10","2022-01-05 00:00:00",93.7,99.0,92.5,94.0,1543900
658,"FRT","10","2022-01-06 00:00:00",92.6,93.6,87.5,87.5,3625100
658,"FRT","10","2022-01-07 00:00:00",84.1,88.8,82.7,88.8,2288900
658,"FRT","10","2022-01-10 00:00:00",91.4,91.4,84.1,85.8,1284200
658,"FRT","10","2022-01-11 00:00:00",84.5,85.5,79.8,79.8,2421300
658,"FRT","10","2022-01-12 00:00:00",77.5,80.6,74.3,80.6,2320800
658,"FRT","10","2022-01-13 00:00:00",80.0,85.5,80.0,83.0,966200
658,"FRT","10","2022-01-14 00:00:00",80.0,88.2,80.0,88.0,1350800
658,"FRT","10","2022-01-17 00:00:00",86.9,87.4,83.0,84.5,689800
658,"FRT","10","2022-01-18 00:00:00",78.8,80.0,76.2,78.0,1413600
658,"FRT","10","2022-01-19 00:00:00",77.9,82.6,73.1,82.6,827400
658,"FRT","10","2022-01-20 00:00:00",84.0,84.0,80.6,82.9,404000
658,"FRT","10","2022-01-21 00:00:00",83.0,83.9,81.4,83.0,529700
658,"FRT","10","2022-01-24 00:00:00",82.0,82.0,77.2,79.7,723000
658,"FRT","10","2022-01-25 00:00:00",79.6,80.6,76.2,80.6,541100
658,"FRT","10","2022-01-26 00:00:00",81.0,81.2,79.0,80.6,275800
658,"FRT","10","2022-01-27 00:00:00",80.0,84.0,79.5,83.0,787100
658,"FRT","10","2022-01-28 00:00:00",83.2,88.1,83.2,87.7,1194100
658,"FRT","10","2022-02-07 00:00:00",93.8,93.8,93.0,93.8,1768500
658,"FRT","10","2022-02-08 00:00:00",95.0,98.6,93.7,94.0,1232300
658,"FRT","10","2022-02-09 00:00:00",94.0,97.0,91.0,95.8,1019800
658,"FRT","10","2022-02-10 00:00:00",96.8,97.6,94.7,97.0,952400
658,"FRT","10","2022-02-11 00:00:00",97.0,101.8,97.0,99.0,983600
658,"FRT","10","2022-02-14 00:00:00",97.0,101.0,96.8,98.1,1159500
658,"FRT","10","2022-02-15 00:00:00",98.7,101.0,98.1,98.2,1062500
658,"FRT","10","2022-02-16 00:00:00",99.6,99.6,94.0,94.2,1612400
658,"FRT","10","2022-02-17 00:00:00",93.2,96.9,92.7,95.8,847400
658,"FRT","10","2022-02-18 00:00:00",98.0,102.5,97.0,102.5,1778700
658,"FRT","10","2022-02-21 00:00:00",109.6,109.6,107.0,108.5,2471500
658,"FRT","10","2022-02-22 00:00:00",106.0,116.0,104.0,116.0,2234500
658,"FRT","10","2022-02-23 00:00:00",117.0,121.4,114.0,116.6,1292500
658,"FRT","10","2022-02-24 00:00:00",115.0,124.7,115.0,124.7,2302800
658,"FRT","10","2022-02-25 00:00:00",127.5,131.9,123.5,125.0,1226000
658,"FRT","10","2022-02-28 00:00:00",125.0,125.0,116.3,122.3,1669800
658,"FRT","10","2022-03-01 00:00:00",120.7,126.8,118.9,124.0,1289300
658,"FRT","10","2022-03-02 00:00:00",124.0,128.7,123.0,127.0,903500
658,"FRT","10","2022-03-03 00:00:00",127.0,129.2,124.8,127.4,964100
658,"FRT","10","2022-03-04 00:00:00",127.1,134.4,126.0,130.0,1154400
658,"FRT","10","2022-03-07 00:00:00",130.3,133.0,128.0,130.0,693100
658,"FRT","10","2022-03-08 00:00:00",129.0,130.9,120.9,120.9,1882800
